01-00,02-00,02-01,10-00,11-01,11-10,12-02,12-10,12-11,20-00,20-10,21-01,21-11,21-20,22-02,22-12,22-20,22-21
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0
0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0
0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.5,1.0,1.0,1.0
1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,1.5,1.0,1.0,1.5
1.0,0.5,0.5,1.5,1.0,0.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,1.5,1.0,1.5,1.5
1.0,0.5,0.5,1.5,1.5,0.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,1.5,1.5,1.5,1.5
1.0,0.5,0.5,2.0,1.5,0.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,1.5,1.5,2.0,1.5
1.0,0.5,0.5,2.0,1.5,0.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,1.5,1.5,2.5,1.5
1.0,0.5,0.5,2.0,1.5,0.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,2.0,1.5,2.5,1.5
1.0,0.5,0.5,2.5,1.5,0.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,2.0,1.5,3.0,1.5
1.0,0.5,0.5,2.5,1.5,0.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,2.0,1.5,3.5,1.5
1.0,0.5,0.5,2.5,1.5,0.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,2.0,1.5,4.0,1.5
1.5,0.5,0.5,2.5,1.5,0.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,2.5,1.5,4.0,1.5
1.5,0.5,0.5,2.5,1.5,0.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,2.5,1.5,4.5,1.5
1.5,0.5,1.0,2.5,1.5,0.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,2.5,2.0,4.5,1.5
1.5,0.5,1.0,2.5,1.5,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,2.5,2.0,4.5,2.0
1.5,0.5,1.0,2.5,2.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,2.5,2.0,4.5,2.5
1.5,0.5,1.0,3.0,2.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,2.5,2.0,5.0,2.5
1.5,0.5,1.0,3.0,2.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,3.0,2.0,5.0,2.5
1.5,0.5,1.0,3.0,2.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,3.0,2.0,5.5,2.5
1.5,0.5,1.0,3.0,2.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,3.0,2.0,6.0,2.5
2.0,0.5,1.0,3.0,2.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,3.0,2.0,6.0,3.0
2.0,0.5,1.0,3.0,2.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,3.5,2.0,6.0,3.0
2.0,0.5,1.0,3.0,2.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,4.0,2.0,6.0,3.0
2.0,1.0,1.0,3.0,2.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,4.0,2.5,6.0,3.0
2.0,1.0,1.0,3.0,2.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,4.0,2.5,6.5,3.0
2.0,1.0,1.0,3.0,2.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,4.5,2.5,6.5,3.0
2.0,1.0,1.0,3.0,2.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,4.5,2.5,7.0,3.0
2.0,1.0,1.0,3.0,2.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,4.5,2.5,7.5,3.0
2.0,1.0,1.0,3.0,2.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,4.5,2.5,8.0,3.0
2.0,1.0,1.0,3.0,2.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,5.0,2.5,8.0,3.0
2.0,1.0,1.0,3.0,2.0,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,5.0,2.5,8.5,3.0
2.0,1.0,1.0,3.0,2.5,1.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,5.0,2.5,8.5,3.5
2.0,1.0,1.0,3.0,2.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,5.0,2.5,8.5,4.0
2.0,1.0,1.0,3.0,3.0,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,5.0,3.0,8.5,4.0
